,0,1,2,3,4,5
31,8.110866,-2.836547,-7.2724433,1.8919961,2.1044793,-8.412835
32,6.8180027,-2.546805,-6.471661,1.8843027,1.8705192,-7.2651534
33,6.453151,-2.4472995,-5.875809,1.6406853,1.6829698,-6.6448855
34,6.8540134,-2.4980156,-6.5568132,1.8780012,1.9636033,-7.436938
35,7.0500965,-3.177349,-7.4577017,2.6070135,2.1750524,-7.943996
36,6.2318883,-2.640459,-6.249154,1.9730841,1.9690565,-6.922214
37,6.52453,-2.990809,-5.81588,1.652491,1.9069186,-6.5671616
38,7.7243953,-3.6563718,-6.861303,1.9157937,2.4006617,-7.7625318
39,7.3501477,-3.475479,-6.399158,1.6677234,2.475892,-7.453783
40,6.591374,-3.0773299,-6.027757,1.607454,2.4505327,-6.9866467
41,6.0107846,-2.5598369,-6.164916,1.7644384,2.5060704,-6.978546
42,5.0004177,-2.1678638,-5.363445,1.5760479,2.3192098,-6.129457
43,7.1821494,-3.201048,-7.4376726,2.3786483,2.4805605,-8.00464
44,4.437207,-1.9608535,-5.0674458,1.6148175,2.0934806,-5.568617
45,6.501119,-2.5676925,-7.190346,2.2267199,2.6181173,-7.787647
46,6.745021,-2.3243194,-7.269199,2.093441,2.5676727,-7.9771094
47,6.4225698,-2.5302088,-6.9819584,2.2422543,2.1658125,-7.3437757
48,6.677194,-1.8981155,-6.908211,1.7983686,2.3044658,-7.7703958
49,5.4445214,-1.3434384,-5.661869,1.4041152,1.8954811,-6.4732366
50,5.7220845,-1.4609345,-5.901117,1.4563204,2.009468,-6.795149
51,6.7148123,-1.770511,-6.5357637,1.5506968,2.0787282,-7.5491953
52,7.7872815,-2.256333,-7.1336327,1.6462004,2.1787715,-8.296697
53,8.483981,-2.568699,-7.3743334,1.6170187,2.2185838,-8.700336
54,7.7597575,-2.5589132,-6.5452285,1.474025,1.8705913,-7.676524
55,6.3732996,-1.8754677,-5.473587,1.1623827,1.6199546,-6.4835186
56,7.5566773,-2.4290164,-6.244392,1.2967381,1.892701,-7.4401937
57,7.8626027,-2.691826,-6.407218,1.3338051,2.0012856,-7.6207285
58,8.436156,-2.9045236,-7.269826,1.5042723,2.6932302,-8.578786
59,7.8588057,-2.748641,-6.7688637,1.4074234,2.530705,-7.976107
60,7.43785,-2.6725962,-6.568631,1.4038271,2.5675385,-7.6741257
61,6.5145373,-2.3937263,-6.2815466,1.4233371,2.7801998,-7.232814
